Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,GELADEIRA 5 (ESTOQUE 4ºC),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃODO PRODUTO,OBSERVAÇÃO 
ESTOQUE CONFORTAVEL,Fermentas,Kit extração de DNA,KO513,,ENTRADA,,,1,Geladeira 1 - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,SLBB5686,Kit imunoprecipitação de cromatina ,SLBB5686,,ENTRADA,,,1,Geladeira 1 - Gaveta,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,KK8440,Kit mRNA Seq,Kapa Biosystem,,ENTRADA,,,1,Geladeira 1 - Prateleira 4,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,K0513,Kit para extração de DNA de gel de agarose,Fermentas Life Sciences,,ENTRADA,,,1,Geladeira 12 de cultivo - Prateleira 4,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,Molecular Probes," Kit Qubit dsDNA HS (faixa 0,2 - 100 ng) (ACABOU)",Q32851,100 reações,ENTRADA,,,0,Geladeira 1 - Gaveta,False,,
ESTOQUE CONFORTAVEL,Molecular Probes,Kit Qubit dsDNA BR (faixa 2 -100 ng),Q32853,500 reações,ENTRADA,,,1,Geladeira 1 - Prateleira 4,False,,
ESTOQUE BAIXO,Molecular Probes,Kit Qubit ssDNA (faixa 1 - 200 ng),Q10212,100 reações,ENTRADA,,,1,Geladeria 1 - Gaveta,False,,
ESTOQUE BAIXO,Molecular Probes,"Kit Qubit proteínas  (0,25 - 5 ug)",Q33211,,ENTRADA,,,1,Geladeira 1 - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,Molecular Probes,KIt qubit RNA BR (20 - 1000 ng),Q10210,100 reações,ENTRADA,,1,,Geladeira 1 - Gaveta,False,,
ESTOQUE CONFORTAVEL,Molecular Probes,KIt qubit RNA BR (20 - 1000 ng),Q10211,500 reações,ENTRADA,,1,1,Geladeira 1 - Prateleira 4 (aberto) /Gaveta (fechado),False,,
ESTOQUE CONFORTAVEL,Molecular Probes,KIt Qubit RNA HS (5 - 100 ng),Q32852,500 reações,ENTRADA,,1,,Geladeira 1 - Gaveta,False,,
ESTOQUE CONFORTAVEL,Life,kit sequenciamento de semicondutores de íons,4475486,,ENTRADA,,,1,Geladeira 1 - Gaveta,False,,
,,Kit Biomol OneStep/COVID-19/ IBMP,,96 reações,ENTRADA,,1,,Geladeira 12 de Cultivo -  Prateleira 2,True,2025-04-04 00:00:00,
ESTOQUE CONFORTAVEL,320-1340,L-glutamina,GIBCO,100 mL,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 3 - Porta,True,2025-04-03 00:00:00,
ESTOQUE MODERADO,Sigma,L-Glutathione reduced ,G4251-10G,,ENTRADA,,0,1,Geladeira 1 - Prateleira 2 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma Aldrich,L-Glutatthione oxidized ,G4501,,ENTRADA,,1,,Geladeira 5 - Prateleira 1 ,True,2025-03-10 00:00:00,
